180790,391
180791,391
180792,391
180793,391
180794,391
180795,391
180796,391
180797,56011
180798,56011
180799,56011
180800,56011
180801,56011
180802,56011
180803,56011
180804,56011
180805,56011
180806,56011
180807,56011
180808,56011
180809,56011
180810,56011
180811,56011
180812,56011
180813,52724
180814,52345
180815,52345
180816,57093
180817,57093
180818,57093
180819,57093
180820,57093
180821,57093
180822,57093
180823,57093
180824,57104
180825,57104
180826,57104
180827,57104
180828,57104
180829,57104
180830,57104
180831,57104
180832,57104
180833,57104
180834,57104
180835,57104
180836,57104
180837,57104
180838,57104
180839,57104
180840,57104
180841,57104
180842,57104
180843,57104
180844,57106
180845,57106
180846,57106
180847,57106
180848,57106
180849,57106
180850,57106
180851,57106
180852,54609
180853,54609
180854,54609
180855,54609
180856,54609
180857,54609
180858,54609
180859,54609
180860,35723
180861,35723
180862,35724
180863,35724
180864,35724
180865,35724
180866,35724
180867,22582
180868,22582
180869,22582
180870,22582
180871,22582
180872,22582
180873,52817
180874,52817
180875,52817
180876,52817
180877,52817
180878,52817
180879,52818
180880,53400
180881,53400
180882,53400
180883,53400
180884,53400
180885,53400
180886,53400
180887,22966
180888,22966
180889,22966
180890,22966
180898,36900
180899,30546
180900,30546
180901,30546
180902,30546
180903,30546
180904,30546
180905,30546
180906,30697
180907,30697
180908,30697
180909,30697
180910,30531
180911,29274
180912,29274
180913,29274
180914,29101
180915,29101
180916,29101
180917,30696
180918,30696
180919,30696
180920,30732
180921,29099
180922,30731
180923,30731
180924,30730
180925,29098
180926,29098
180927,9242
180928,31070
180929,50688
180930,11843
180931,11843
180932,11843
180933,11841
180934,11841
180935,11841
180936,11841
180937,33119
180938,33119
180939,33119
180940,33119
180941,43305
180942,43305
180943,43305
180944,34690
180945,11840
180946,11842
180947,56810
180948,56809
180949,34693
180950,34693
180951,31098
180952,31098
180953,11929
180954,11929
180955,43022
180956,43022
180957,43022
180958,43014
180959,50709
180960,43016
180961,50710
180962,43019
180963,43019
180964,43018
180965,43018
180966,43013
180967,43013
180968,43013
180969,43013
180970,43012
180971,43011
180972,11534
180973,11534
180974,11531
180975,11527
180976,11527
180977,11223
180978,11223
180979,11220
180980,11220
180981,10440
180982,11222
180983,10442
180984,1771
180985,40109
180986,11540
180987,11765
180988,11769
180989,11773
180990,20193
180991,37224
180992,40114
180993,40119
180994,40119
180995,42904
180996,42904
180997,42904
180998,54382
180999,54381
181000,54381
181001,11512
181002,11515
181003,11517
181004,11517
181005,11518
181006,11347
181007,11346
181008,11346
181009,11346
181010,11346
181011,37242
181012,37242
181013,37239
181014,54364
181015,54364
181016,37244
181017,37244
181018,54349
181019,54349
181020,54348
181021,54348
181022,54348
181023,54348
181024,34184
181025,54347
181026,54347
181027,42829
181028,54344
181029,54344
181030,54344
181031,54344
181032,54345
181033,42827
181034,42827
181035,42827
181036,42827
181037,42827
181038,42827
181039,59117
181040,59125
181041,59125
181042,59124
181043,59124
181044,59124
181045,59124
181046,59124
181047,12706
181048,59122
181049,59122
181050,59122
181051,12877
181052,12877
181053,13793
181054,12881
181055,12881
181056,12995
181057,12995
181058,12996
181059,41994
181060,41994
181061,41994
181062,41995
181063,41995
181064,44821
181065,44821
181066,44821
181067,41996
181068,41996
181069,41996
181070,41996
181071,41996
181072,44128
181073,44128
181074,44128
181075,44128
181076,44840
181077,44840
181078,44840
181079,44840
181080,44841
181081,41993
181082,41993
181083,41993
181084,41993
181085,41993
181086,41869
181087,41869
181088,51528
181089,51528
181090,41868
181091,41881
181092,51529
181093,51532
181094,19040
181095,19040
181096,19042
181097,19041
181098,41959
181099,58989
181100,41935
181101,41935
181102,41935
181103,58971
181104,58971
181105,58971
181106,58637
181107,58637
181108,58639
181109,44858
181110,44858
181111,44858
181112,58601
181113,58602
181114,58602
181115,58602
181116,44862
181117,44862
181118,44863
181119,58613
181120,43754
181121,43858
181122,43858
181123,43739
181124,43739
181125,44876
181126,44644
181127,43817
181128,43860
181129,43860
181130,43804
181131,58719
181132,58768
181133,58766
181134,58773
181135,58785
181136,50083
181137,50092
181138,50091
181139,58799
181140,56152
181141,56154
181142,50094
181143,50094
181144,50094
181145,56157
181146,16776
181147,9918
181148,9918
181149,9943
181150,9943
181151,9943
181152,44540
181153,44540
181154,44521
181155,9940
181156,44508
181157,44508
181158,57701
181159,57701
181160,58452
181161,58452
181162,58459
181163,58461
181164,58460
181165,44550
181166,44551
181167,44480
181168,44480
181169,44553
181170,44496
181171,44496
181172,44506
181173,44506
181174,44504
181175,44504
181176,44503
181177,57730
181178,57730
181179,16905
181180,16905
181181,16905
181182,16905
181183,16905
181184,2598
181185,2598
181186,2598
181187,58301
181188,58301
181189,22153
181190,4138
181191,4138
181192,4138
181193,4137
181194,4137
181195,4137
181196,16908
181197,16908
181198,16911
181199,17932
181200,17939
181201,17943
181202,16910
181203,16871
181204,16861
181205,16875
181206,16863
